experiment_label,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,25fv47,TERMINATION_REASON_OPTIMAL,8880,1.991742031,9356.5,5498.584471106579,5498.138722766275,4.053096558679044e-5,0.4516745295734904,0.2285528868681581,1.3507239479959576e-5,1.3507239479959576e-5,7.6133181374553e-5,0.00011421933376719545,6.91622554560146e-8,1.337363684784956e-7,694.2707462357431,1534.5928385333314,107.81638177619038
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,80bau3b,TERMINATION_REASON_OPTIMAL,10160,6.048694457,10805.5,987235.8365788839,987039.7834475357,9.930378010838069e-5,0.0003518406648926084,0.00015244486372946843,0.014403557249459714,0.008296115544090987,2.2263327610388665e-8,1.9233518007755292e-8,6.01876091344987e-6,7.386901045033368e-5,9442.19999999998,21948.693922689155,116.06738607689965
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,adlittle,TERMINATION_REASON_OPTIMAL,1640,0.19065994,1773.5,225287.49644399792,225245.83866608978,9.246304812254249e-5,0.17827382393505228,0.08995939279912513,0.0,0.0,9.864853202337865e-5,7.638987039125057e-5,0.0,0.0,313.2733795407296,526.0580132796194,3309.999561832761
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,afiro,TERMINATION_REASON_OPTIMAL,280,0.107284076,322.5,-464.7526068293249,-464.7604554249103,8.434696839552374e-6,0.0006935633822865026,0.0006532480177838806,0.0,0.0,2.2798873330171423e-6,2.1702591952952847e-6,0.0,0.0,500.00000000000006,775.9234710873753,0.9425534647937137
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,agg2,TERMINATION_REASON_OPTIMAL,1720,0.423130675,1871.5,-2.0237921190683216e7,-2.024186027651768e7,9.730995559715766e-5,264.7846215099117,242.01271693373565,0.0,0.0,8.849092080673728e-5,0.00017286610290545196,0.0,0.0,342922.54000702605,797657.1486366234,3816.185430921206
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,agg3,TERMINATION_REASON_OPTIMAL,2160,0.261270897,2342.5,1.0312989366435066e7,1.0312092255676148e7,4.349610497829737e-5,299.4040127877676,299.08659846456794,0.0,0.0,9.990790770467266e-5,0.00021363313202245424,0.0,0.0,413300.12532957114,874419.4058580563,3816.1850949715936
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,agg,TERMINATION_REASON_OPTIMAL,62480,1.832520422,65721.5,-3.599002973031346e7,-3.5997051692222714e7,9.754474932100584e-5,6.673685548430067,5.12307412608061,0.0,0.0,3.8972159593837285e-6,3.936538452025033e-6,0.0,0.0,1.9131886371268746e6,3.1527491120346743e6,186530.44899302637
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,bandm,TERMINATION_REASON_OPTIMAL,3960,0.306083227,4207.5,-158.63262406761714,-158.62998787820533,8.283063460390107e-6,0.016974136655304017,0.007420095631921697,0.0,0.0,1.2740517573777568e-5,6.469307465482589e-6,0.0,0.0,28.25154816644546,71.98391019751547,18.173390434082684
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,beaconfd,TERMINATION_REASON_OPTIMAL,372,0.114969172,414.5,33592.4858072,33592.4858072,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,5.269727543080786e-18,6.338472219090992e-18,0.0,0.0,1120.0,1347.7210393846347,4.1506401989137345
"1e-4,netlib_pdhg_enhanced_100k",1e-4,netlib_pdhg_enhanced_100k,blend,TERMINATION_REASON_OPTIMAL,1800,0.172406443,1919.5,-30.810377185201922,-30.813293476532582,4.656851474600524e-5,0.0008658984840372767,0.000636438065635403,3.12446847505754e-7,3.12446847505754e-7,2.861526105293897e-5,2.6234050520832767e-5,1.650144646330714e-8,4.9126862815370124e-8,21.71267061394622,37.484487316627074,5.862939974678061
