experiment_label,tolerance,enhancements,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,2club200v15p5scn,TERMINATION_REASON_OPTIMAL,4600,5.076561925,4866.0,-121.2575895550752,-121.25394700697612,1.495842106910551e-5,0.013112894393825725,0.0051663398878223354,0.0,0.0,9.976798422383601e-5,0.0025831699439111677,0.0,0.0,1.0,9.162762102822247,1.9983019122669474
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,30n20b8,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,78.702696694,100001.0,0.0,-62.11886382578299,0.9841568757834402,1.2431138629701308,0.8399103506231005,0.0,0.0,0.19192073034452192,0.41995517531155024,0.0,0.0,120.13044412885736,559.0070614127163,12.706276753886721
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,academictimetablebig,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,1421.072762352,100003.0,25.427516336993083,25.21060551476444,0.004200594724404409,0.009075414684755211,0.0006404973791023227,0.0,0.0,3.550490099705067e-6,6.404973791023227e-7,0.0,0.0,1.0,39.205146967842886,6.752575890462704
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,academictimetablesmall,TERMINATION_REASON_OPTIMAL,42200,86.760700553,44351.0,0.0,-9.205266503542475e-5,9.204419212223887e-5,2.116888244646079e-5,3.2766276922835402e-6,0.0,0.0,2.8445647206207423e-8,6.540175034498084e-9,0.0,0.0,1.0,15.947743500787038,3.1885500671338614
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,adult-max5features,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,342.118387123,100001.0,0.08115086228690399,-180.5908017421621,0.9944955730058272,0.0005351498690784784,0.0003577622169261621,0.0,0.0,0.00045334523242417985,0.0003574048121140481,0.0,0.0,0.0804034891900069,0.10010421361114362,0.006703995257441131
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,adult-regularized,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,347.276565384,100001.0,0.06152031788762004,-157.98905532375122,0.9937126917273589,0.003783916184462614,0.001151008109352552,0.0,0.0,0.0032054952476635243,0.0011498582511014507,0.0,0.0,0.06317804636663664,0.07833118752536998,0.2088493781516984
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,allcolor58,TERMINATION_REASON_OPTIMAL,6520,56.523683128,6888.0,41.89840238216209,41.89137099667198,8.292728250013185e-5,0.023796846802093145,0.0030747691483852257,0.004356534108883041,8.286960949558404e-5,8.93873163257469e-6,0.00025623076236543546,1.1587882993751238e-5,7.533600863234913e-6,0.49581251004004234,25.585669824580968,1.0005666351332203
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,app1-2,TERMINATION_REASON_OPTIMAL,44000,102.971454687,46241.0,-264.7694547796648,-264.8095214307746,7.551496178006871e-5,0.011063074273781136,0.003942312960198535,0.0008925938075336063,0.0008925938075336063,9.41718840609012e-5,0.0019711564800992676,5.156668164559165e-5,0.00044629690376680315,1.0,21.454216965723525,1.1909758328600226
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,atlanta-ip,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,272.003295495,100002.0,80.40260009181756,-3.214146511416437e7,0.9999999688876203,0.08521428586023322,0.010821488886780362,0.005402284860929789,0.0029486172371247076,4.919749881318183e-7,1.0821380672973632e-7,5.6357286723483615e-5,0.00016381206872915043,15.91851692012392,88.850202307879,42.46414437798914
"1e-4,vanilla,miplib_improvements_100k",1e-4,vanilla,miplib_improvements_100k,bab1,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,597.634071443,100002.0,-538277.1796865003,-455376.34894185176,0.08343023491181134,18.398644838660257,5.4538619982448955,0.0,0.0,0.05582792539023686,0.11830503249988927,0.0,0.0,1.0,10.32877992642808,1725.7793136023956
