experiment_label,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,16_n14,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,93880,2453.209892036,100004.5,3.5451443394419836e11,3.123944168761183e11,0.06315708213529947,653.6643493901993,234.0150809797924,0.0,0.0,0.000727650237240476,0.00036840585157631715,0.0,0.0,183745.43013644798,5.700702192960712e6,7.253255245413667e6
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,L1_sixm1000obs,TERMINATION_REASON_OPTIMAL,15640,4292.369128094,16446.5,17199.14925343034,17199.149002668884,7.289725898584012e-9,8.381792036277135e-5,2.03889200491858e-5,0.0,0.0,8.381792036277135e-5,2.03889200491858e-5,0.0,0.0,7202.000093052146,270967.11972562055,0.2616989103009585
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,L1_sixm250obs,TERMINATION_REASON_OPTIMAL,9600,769.137173083,10112.5,4629.4627900114465,4629.462679062757,1.1981596363398022e-8,9.130509877576603e-5,2.2420911506060293e-5,0.0,0.0,9.130509877576603e-5,2.2420911506060293e-5,0.0,0.0,3533.999944819996,111686.89077212836,0.04766860684253832
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,Linf_520c,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,738.866659298,100022.5,0.21737868473857497,-3034.3470269225977,0.9996705719706843,0.007684500261570441,0.002159586030109767,0.0,0.0,0.007684500261570441,0.002159586030109767,0.0,0.0,467.5069299767034,13097.749669662786,0.23000278460284557
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,buildingenergy,TERMINATION_REASON_OPTIMAL,11280,215.02499066,12031.5,33246.76123241331,33240.24052960166,9.807337623093622e-5,0.057503665148632324,0.03470506597346912,0.01299676973019528,0.010220423538873646,8.803668978336255e-6,0.00018420850193719309,1.7550178517413336e-6,1.5483144279463181e-6,174.8817923526517,6714.012869445964,73.50781733797845
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,chrom1024-7,TERMINATION_REASON_OPTIMAL,160,1.886205534,190.5,2.9999612169459695,2.999896843133118,9.196445456306356e-6,0.0013659110518160192,9.029460767084885e-6,0.0,0.0,9.987590458321867e-6,4.514730383542442e-6,0.0,0.0,0.7499903042365,67.89641197015894,0.00017313547251704902
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,cont11,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,849.131335914,100023.5,418.057646420278,-1.1005401217768146e7,0.9999999091389851,0.04919823830200327,0.0005231268946929717,0.0,0.0,0.009074119269719332,0.0005146037697563816,0.0,0.0,2.4803358182396456,265.6340289453325,673085.9982986221
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,cont1,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,646.190690302,100025.5,0.014956480681229884,-30.3926052284148,0.9681605337828442,0.04883158410439387,0.0005288089422418878,0.0,0.0,0.009006493597852227,0.0005201932416766188,0.0,0.0,2.4774069444172375,265.30265455671247,1.851304376469041
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,datt256,TERMINATION_REASON_OPTIMAL,1040,18.344878291,1113.5,255.99999946503607,255.97738522738445,4.408427803339331e-5,8.354335846388528e-5,5.883564899980542e-5,0.0,0.0,3.5227125126273455e-6,1.9611882999935142e-5,0.0,0.0,0.27712420199203264,1.486705081312457,16.669003541841523
"1e-4,mittelmann_pdhg_enhanced_100k",1e-4,mittelmann_pdhg_enhanced_100k,degme,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95080,10242.376098093,100005.5,-4.691519319535715e6,-4.973284741133265e6,0.029153761491185978,0.04643278467851971,0.04479923751205206,1.0399023130658106e-5,4.391038882722853e-6,6.050963696216397e-9,5.838513344227945e-9,9.759792265020884e-9,1.2545825379208151e-6,14854.172586362774,51860.1177270163,9.314248123588403
