experiment_label,tolerance,stepsize,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,bab2,TERMINATION_REASON_OPTIMAL,36840,446.182359578,38725.0,-432261.96985519154,-432246.04416237137,1.8421661962961678e-5,0.012231925267904916,0.008073823278998304,0.0,0.0,9.997427177264753e-5,0.000897091475444256,0.0,0.0,45.113529999989666,355.6556145584745,5742.528511286007
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,bab3,TERMINATION_REASON_OPTIMAL,38720,1086.778677687,40700.0,-733394.1296833567,-733380.1779379067,9.51184914113205e-6,0.012116568102416918,0.003585427679837494,0.0,0.0,9.907147593798745e-5,0.0003983808533152771,0.0,0.0,45.11352999999445,352.22799444210506,6835.172337829645
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,bab5,TERMINATION_REASON_OPTIMAL,14160,20.15223365,14909.0,-124651.40456435928,-124665.33664106528,5.588080751348839e-5,0.003334356762600171,0.0016334871882150992,0.0,0.0,9.927125354554549e-5,0.00023335531260215703,0.0,0.0,45.09999999999847,184.1547018537527,5050.019060731644
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,bab6,TERMINATION_REASON_OPTIMAL,23600,194.184430281,24823.0,-321652.48083374655,-321716.74605705333,9.988840114245166e-5,0.005957537295167281,0.0019137366325736593,0.0,0.0,4.4004808764542195e-5,0.00027339094751052277,0.0,0.0,45.11353000000375,317.76885073482856,4837.623894196089
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,blp-ar98,TERMINATION_REASON_OPTIMAL,14120,17.809262406,14867.0,5891.100368765296,5890.842115967394,2.191751323880021e-5,0.011500410467758855,0.005480136001022373,0.0,0.0,9.975657881504122e-5,0.00016606472730370828,0.0,0.0,7.999999999999551,32.39006522830938,72.95662497620434
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,blp-ic97,TERMINATION_REASON_OPTIMAL,18680,12.568021553,19654.0,3846.304944798682,3846.247525769393,7.463266093046772e-6,0.00921171569193845,0.004391345276573588,0.0,0.0,9.884298244567031e-5,0.00010710598235545337,0.0,0.0,3.2754547820546693,13.711818642165285,45.720260277846954
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,blp-ic98,TERMINATION_REASON_OPTIMAL,41160,45.353738833,43259.0,4331.1845293037995,4331.077095198235,1.2401115217478225e-5,0.009716088309417635,0.008776879647911073,0.0,0.0,9.957945164416654e-5,0.00026596604993669917,0.0,0.0,6.087105708338871,18.798497354910165,44.22705726152485
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,bppc6-02,TERMINATION_REASON_OPTIMAL,8800,8.199156075,9279.0,108.34056201859183,108.32834380084631,5.613212277388088e-5,2.3912917791073766e-5,1.1570088656931432e-5,0.0,0.0,4.369942192175597e-6,5.785044328465716e-6,0.0,0.0,108.34056201859183,108.34655377885146,19.44000703908189
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,bppc6-06,TERMINATION_REASON_OPTIMAL,9040,7.756094811,9531.0,200.6350471836219,200.61054589146494,6.09112755460219e-5,0.00010938919854543102,6.183840127174656e-5,0.0,0.0,1.9990219439904145e-5,3.091920063587328e-5,0.0,0.0,200.6350471836219,200.63865734200206,31.040011793710978
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,brazil3,TERMINATION_REASON_OPTIMAL,2640,2.859305721,2812.0,2.000020922057473,1.9997398081176918,5.622547856835433e-5,1.6881401512145407e-5,4.101710534998304e-6,0.0,0.0,2.1473667313135208e-7,2.56356908437394e-7,0.0,0.0,1.00000000000001,15.23384217589954,7.980821235035378
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,buildingenergy,TERMINATION_REASON_OPTIMAL,14320,258.169320486,15079.0,33232.80332359631,33239.32092299625,9.80486395639485e-5,0.560730906780414,0.20334724115929248,0.015939759506253637,0.013820941262967068,8.584651563439517e-5,0.0010793320691466206,2.15242426131054e-6,2.0937647724537296e-6,175.45150115543626,6713.3065026546465,62.644246077282915
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,cdc7-4-3-2,TERMINATION_REASON_OPTIMAL,120,0.963621161,166.0,-380.99892927683703,-381.01450839075034,2.0417876205335607e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032257973861386416,3.5057457839707022,0.142856961524925
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,chromaticindex1024-7,TERMINATION_REASON_OPTIMAL,280,2.877915811,336.0,2.9999441115796923,2.999581358635638,5.1825362390320774e-5,0.001976177484604941,1.3187421758376061e-5,0.0,0.0,1.4449880439102943e-5,6.5937108791880306e-6,0.0,0.0,0.7499860278949234,67.89613947184452,0.0001731538920424176
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,chromaticindex512-7,TERMINATION_REASON_OPTIMAL,280,1.389614613,336.0,2.999920678250726,2.9995351617469397,5.5078067866860884e-5,0.001983158934674527,1.8684466680407574e-5,0.0,0.0,2.044603533330685e-5,9.342233340203787e-6,0.0,0.0,0.7499801695626835,48.01998410670862,0.0003463565561752053
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,ci-s4,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,13.793581888,100039.0,5.070241127699063,3.6604150755067053,0.14488499262032195,0.08338131891154965,0.0608927547126723,0.0,0.0,3.2728566463092224e-8,6.765854117125681e-8,0.0,0.0,1.0989644527915665e6,7.0357005753279375e6,2.5716119576886936
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,circ10-3,TERMINATION_REASON_OPTIMAL,1000,2.947078467,1089.0,140.0033896130597,139.9872240061064,5.753077209624415e-5,0.002602198561834225,0.00042570511150241686,0.0,0.0,8.851845864784661e-7,1.2900154894012632e-5,0.0,0.0,0.9999999999999932,11.488767991896037,1.4502530413678227
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,cmflsp40-24-10-7,TERMINATION_REASON_OPTIMAL,26920,25.652912127,28306.0,5.040457314138969e7,5.040673793902008e7,2.1473757118301517e-5,0.5750367975986497,0.44045234604664074,0.0,0.0,9.993351310943177e-5,0.0003687799606871024,0.0,0.0,1.0000000000000968,13.925615265982767,781327.3432965064
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,4680,11.410857976,4955.0,6.1739435821439326e7,6.173184840820005e7,6.145083227380656e-5,0.7435659967803526,0.4075108472966349,0.0,0.0,9.742365327359443e-5,0.000317163618835231,0.0,0.0,1.0000000000000164,12.938791938382362,529704.172904574
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,5240,6.541255447,5543.0,5.463551500797428e7,5.462494326642168e7,9.675724981211158e-5,0.02162079242476633,0.018820652270733262,0.0,0.0,2.601313955270438e-6,1.0921919841419025e-5,0.0,0.0,1.0000000000000366,14.790768541443718,715915.3856422027
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,4160,14.782155541,4410.0,7.011230243892509e7,7.009852928895748e7,9.823171077188734e-5,0.5515046650273079,0.3035761800567798,0.0,0.0,5.1021940309116186e-5,0.00016722827682791091,0.0,0.0,1.000000000000016,15.12698535382403,272352.4071495717
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,co-100,TERMINATION_REASON_OPTIMAL,28280,15.117669252,29734.0,917179.7563772302,917022.1835992268,8.590803916464622e-5,0.17216190037286416,0.1494715715408491,0.0,0.0,2.4685135551035235e-5,5.233598443307042e-5,0.0,0.0,0.9999999999999999,5.222224728122248,837300.0004370717
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,core2536-691,TERMINATION_REASON_OPTIMAL,3600,7.95104964,3821.0,688.4723964587776,688.3357182098686,9.919977060220977e-5,0.006712675041894826,0.003989928307407853,0.0,0.0,7.252137663867228e-7,4.3106399172513535e-7,0.0,0.0,1.0000000000000129,11.521351691588325,1.9999761000900977
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,core2586-950,TERMINATION_REASON_OPTIMAL,1800,3.379980569,1930.0,935.8889334053086,935.7077620285175,9.67487431932729e-5,0.018828111987943714,0.004527934076106521,0.0,0.0,2.040737635154335e-6,4.907797611214525e-7,0.0,0.0,1.0000000000000082,14.483367602533397,1.9999999999999916
