experiment_label,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,2club200v15p5scn,TERMINATION_REASON_OPTIMAL,640,1.138123449,717.5,-121.2204671195577,-121.2446021510238,9.913139301013585e-5,0.001610523848586816,0.0007050642909254279,0.0,0.0,1.2253489816373228e-5,0.00035253214546271394,0.0,0.0,1.0000000000000002,9.157552835516084,2.031222348958965
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,30n20b8,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94880,110.510773392,100029.5,14.106788250202733,-5.327622364090281,0.9510629389378844,1.984874997989253,0.5653107915711063,0.0,0.0,0.30643907256131375,0.28265539578555315,0.0,0.0,162.6535172957423,879.9122262242641,36.24464222313284
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,academictimetablebig,TERMINATION_REASON_OPTIMAL,1440,36.190176931,1555.5,25.445017045351996,25.44108304022666,7.582001959771531e-5,0.002489104904321614,0.0024737434750112808,0.0,0.0,9.737893668667759e-7,2.4737434750112808e-6,0.0,0.0,1.000000000000001,38.696756574791706,916.3132585521652
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,academictimetablesmall,TERMINATION_REASON_OPTIMAL,1200,4.025340143,1306.5,0.0,-4.299845386412926e-5,4.299660507658956e-5,2.742140285007299e-6,1.2327046667870434e-6,0.0,0.0,3.684746010306642e-9,2.460488356860366e-9,0.0,0.0,1.0000000000000004,15.62726895002022,1010.6609008954005
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,adult-max5features,TERMINATION_REASON_OPTIMAL,28240,130.171680616,29680.5,0.08131607887746786,0.08120518589787591,9.539006549990336e-5,3.226233405615973e-7,2.078274284771954e-7,0.0,0.0,2.7330615545925515e-7,2.076198086685269e-7,0.0,0.0,0.08127393715871072,0.1011975731791137,0.006666620012983813
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,adult-regularized,TERMINATION_REASON_OPTIMAL,4840,21.811600845,5126.5,0.07768396197553536,0.07766345853643623,1.774655721310001e-5,1.9545241557200644e-9,1.6440077910129247e-9,0.0,0.0,1.6557496485599363e-9,1.6423654255873375e-9,0.0,0.0,0.07768396362252047,0.10986977189367111,24.505717268019332
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,allcolor58,TERMINATION_REASON_OPTIMAL,360,6.692305435,399.5,41.99997144458171,41.999848278961906,1.4490103650219354e-6,3.0755644412770025e-5,6.998561694171457e-6,4.960058069141068e-6,1.9071821953857793e-7,1.1552641989881833e-8,5.832134745142881e-7,1.3193187775168051e-8,1.733801995805254e-8,0.7029486184611132,25.524945157156317,0.9999997272856955
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,app1-2,TERMINATION_REASON_OPTIMAL,74920,242.597174051,78776.5,-264.60058561018775,-264.6011118457873,9.925196430863972e-7,0.0003458661044297739,9.069126770734626e-5,0.0017220624060532638,0.0015388929344887596,2.944105940258155e-6,4.534563385367313e-5,9.948651124094524e-5,0.0007694464672443798,0.999999999999998,21.681529439607473,1.398888629385854
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,atlanta-ip,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,397.788121411,100033.5,81.2437262722296,-490.04207789536764,0.9982526213428367,6.86002986643005e-5,2.9619885282093986e-5,1.4994824429129734e-8,1.0122683730929245e-8,3.9605602253786294e-10,2.9619589086203125e-10,1.5642781554012985e-10,5.623713183849581e-10,22.62920430311626,118.75806342773438,11.421827504390473
"1e-4,miplib_nopresolve_100k",1e-4,miplib_nopresolve_100k,bab1,TERMINATION_REASON_OPTIMAL,4840,39.529879054,5168.5,-286955.68539161416,-286932.843820744,3.9801337552690864e-5,0.03274187794730603,0.022045712499249248,0.0,0.0,9.935031276529312e-5,0.0004782150216756887,0.0,0.0,1.0000000000000007,12.399171179523321,7605.120315405846
