experiment_label,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,25fv47,TERMINATION_REASON_OPTIMAL,41943080,3204.092119177,4.4040272e7,5502.104242632777,5502.91697099603,7.384397571817935e-5,0.0015176512616330766,0.00037367545421673753,0.0025570457832607986,0.0015498615293032536,3.25361593759482e-7,1.8674435493090333e-7,1.6257422113091687e-5,1.5345163656467856e-5,2080.6587700488153,3180.315998186109,45.89100472756611
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,adlittle,TERMINATION_REASON_OPTIMAL,1314120,14.099822886,1.379862e6,225372.5180649006,225417.4360219577,9.96425430676339e-5,0.2026261089475806,0.1517263833297946,0.17305230439780114,0.1685843081338015,6.653558423471676e-5,6.410071116594617e-5,1.6301369098607694e-5,5.091643253814603e-5,313.3104199776921,540.6837016731721,3309.9997812549277
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,afiro,TERMINATION_REASON_OPTIMAL,20560,0.230838873,21623.0,-464.75314751739757,-464.81613661098834,6.76887735981646e-5,0.000193947268973264,0.0001344055398249111,0.00018924568243231253,0.00012326711432630866,2.31396617116198e-7,2.6827453058864494e-7,1.713786139919688e-5,1.1206101302391696e-5,499.99993642442763,860.6496409647525,0.9430244811037747
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,bandm,TERMINATION_REASON_OPTIMAL,11104560,465.347023586,1.1659825e7,-158.63373508646677,-158.6653899701353,9.945011210097982e-5,0.0009504243397858201,0.0006615353583258043,0.0006997982717142922,0.0003314867448294123,7.758255075566125e-6,9.975351091361255e-6,1.635624347808342e-5,3.0135158620855666e-5,1032.2518229262882,1535.7438749850457,70.89006221424441
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,beaconfd,TERMINATION_REASON_OPTIMAL,41967960,1103.629907188,4.4066395e7,33596.991456268406,33603.64820755457,9.905638194940111e-5,0.047737024535000824,0.04707980667440115,0.010341075639840241,0.005632137962241046,1.4040184703315521e-5,2.4857342489124154e-5,6.40395991386469e-5,5.1201254202191326e-5,2435.2157109896143,5284.828891424022,1721.773268827161
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,blend,TERMINATION_REASON_OPTIMAL,123240,1.484161279,129437.0,-30.81841520457688,-30.813663240336517,7.587109287044208e-5,0.0028189723177378975,0.002254884604397489,0.0008476499066944319,0.00040805868060012074,6.031394214780923e-5,8.253603969244104e-5,6.502758638578396e-5,6.416016990567935e-5,87.10456349995304,101.5186021998711,5.857980991823132
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,brandy,TERMINATION_REASON_OPTIMAL,34286360,471.264837097,3.6000715e7,1518.5106770015302,1518.788819814665,9.154555481651069e-5,9.468671747629569e-6,3.5107048974580835e-6,0.000241420440270606,0.00018098728027951888,3.985316544239768e-8,2.6297414962232836e-8,9.999962059416874e-5,9.049364013975944e-5,1444.900944139259,2668.98680793947,663.5844929125192
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,d6cube,TERMINATION_REASON_OPTIMAL,366120,170.483390194,384466.0,315.4998451714588,315.56301658520175,9.994482758786814e-5,0.01459382564499487,0.005753787286304934,0.0069979402770006015,0.004591680365959805,1.0975562900802252e-6,4.994173497356944e-7,8.787141798682614e-5,0.0022958401829799024,24.047149494289176,54.513842132343704,6.7682010095834
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,degen2,TERMINATION_REASON_OPTIMAL,5920,0.305078952,6253.0,-1435.086187237943,-1435.1647648321639,2.736702417606776e-5,0.003945131580476671,0.0008282181912586672,0.004595401445415418,0.0018605367910260462,8.025738181437764e-5,2.1236363878427364e-5,1.9755959867582793e-5,3.830629588276809e-5,3.9990859463000454,14.167408632034302,32.131139187782956
"1e-4,netlib_pdhg_vanilla_1h",1e-4,netlib_pdhg_vanilla_1h,degen3,TERMINATION_REASON_OPTIMAL,19680,3.701159572,20703.0,-987.2834246902039,-987.2609594373812,1.1371677094783836e-5,0.007644323090120949,0.0015065060107128936,0.006020245607052833,0.0013446435776227617,9.964369384689665e-5,3.138554188985195e-5,5.525697380672453e-5,6.842969860675633e-5,9.872588518388008,26.151490887387382,10.846240897025604
