experiment_label,tolerance,primal weight,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,2club200v15p5scn,TERMINATION_REASON_OPTIMAL,2840,3.276785881,3013.5,-121.22110803368508,-121.24307784915946,9.023838719732712e-5,0.0014100961983568106,0.0005848639814463041,0.0,0.0,1.0738585610526611e-5,0.00029243199072315207,0.0,0.0,1.0000000000000013,9.225626587070602,2.0249151706320734
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,30n20b8,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94920,67.508527268,100013.5,1.566407576924548,1.5494832277593673,0.004111952908449531,0.003054322324332177,0.002103341400652381,0.0,0.0,6.5208269206498874e-6,9.737691669686949e-6,0.0,0.0,211.59566680037625,1207.2256223871746,7.8100427547794355
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,academictimetablebig,TERMINATION_REASON_OPTIMAL,1640,33.787996025,1761.5,25.44440405487891,25.439956973104245,8.571141065543364e-5,8.467976158537774e-5,4.892859345384526e-5,0.0,0.0,1.2628223807460114e-7,1.3979598129670074e-6,0.0,0.0,29.52611694282777,68.73459444407038,713.2601061373072
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,academictimetablesmall,TERMINATION_REASON_OPTIMAL,1160,2.921137417,1246.5,1.7763568394002505e-15,-1.618074471210207e-5,1.618048290161525e-5,4.411188992031158e-6,3.551194703632632e-6,0.0,0.0,2.148949501734386e-8,1.3152572976417156e-7,0.0,0.0,12.182406988709047,17.53154819701371,52.68693186836517
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,adult-max5features,TERMINATION_REASON_OPTIMAL,24040,151.819340226,25267.5,0.08131607786323442,0.08120200256194807,9.812776524269285e-5,8.018081473522502e-7,6.524898241871448e-7,0.0,0.0,1.3356223281317096e-7,1.0874830403119079e-7,0.0,0.0,0.0023556583462895427,0.006545162983887156,0.006666620009591051
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,adult-regularized,TERMINATION_REASON_OPTIMAL,2800,17.797753166,2977.5,0.07768396142052215,0.07765204351586305,2.7626512566672228e-5,1.3401367280923236e-9,9.948034960790503e-11,0.0,0.0,1.1352793517886472e-9,9.938096863926577e-11,0.0,0.0,0.0010000002593152342,0.0013305522434603418,9.943001633281629
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,allcolor58,TERMINATION_REASON_OPTIMAL,520,6.493326938,579.5,41.99999999999636,41.991716096321184,9.746718922335959e-5,0.0001931757880231615,6.0198107056930183e-5,0.0,0.0,7.319477067269546e-8,5.016508921410849e-6,0.0,0.0,0.7400240349116275,11.418896395285644,10.000000000000007
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,app1-2,TERMINATION_REASON_OPTIMAL,1720,8.259644313,1883.5,-264.75939006930105,-264.81170989187876,9.861038903465178e-5,0.010613172994454863,0.0033744445638712595,0.0,0.0,9.125478068524562e-5,0.0016872222819356297,0.0,0.0,1.0000000000000007,49.02082351871698,1.3449056257985421
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,atlanta-ip,TERMINATION_REASON_OPTIMAL,23080,43.873087405,24260.5,81.24532760253007,81.22900314202616,9.98594729188288e-5,0.0014058555264464593,0.000702326558647659,0.0,0.0,2.8708022359648636e-6,2.7901102758924958e-5,0.0,0.0,21.15105308343896,113.00390436416633,112.48070232832318
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,bab1,TERMINATION_REASON_OPTIMAL,2720,2.433262119,2972.5,-286908.90232925536,-286925.46695762535,2.8866516873254213e-5,0.014988997614921997,0.010440846743030363,0.0,0.0,8.628998513624417e-5,0.0006960564495353575,0.0,0.0,45.10000000000004,141.51915297892353,5824.761184961028
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,bab2,TERMINATION_REASON_OPTIMAL,30600,431.262368467,32338.5,-432168.0333362755,-432253.191812666,9.851490847063039e-5,0.0049885871121789676,0.0030865899658039098,0.0,0.0,4.07728426058255e-5,0.00034295444064487884,0.0,0.0,45.11352999999977,355.66168011187006,5739.704834910827
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,bab3,TERMINATION_REASON_OPTIMAL,55640,1730.5699894,58637.5,-733079.0957782492,-733225.6596441518,9.995450495956072e-5,0.00947711631775423,0.0030555842308714887,0.0,0.0,7.748992068542988e-5,0.00033950935898572097,0.0,0.0,45.11353000000001,352.2201374608909,11834.670932759262
"1e-4,adaptive,miplib_primalweight_100k",1e-4,adaptive,miplib_primalweight_100k,bab5,TERMINATION_REASON_OPTIMAL,13800,22.645688908,14547.5,-124647.43630156903,-124658.02125849127,4.245761231308527e-5,0.0033315468038280028,0.0010523659808328034,0.0,0.0,9.918759479227312e-5,0.00015033799726182906,0.0,0.0,45.0999999999999,184.16635379553458,5049.970783137952
