experiment_label,tolerance,restarts,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,2club200v15p5scn,TERMINATION_REASON_OPTIMAL,1880,1.694880728,2004.5,-121.22147500654538,-121.24449253338032,9.454104435016685e-5,0.0009412881247989861,0.00047078735686012507,0.0,0.0,7.168378387307882e-6,0.00023539367843006254,0.0,0.0,1.0000000000000018,9.224299344164336,2.025600072747655
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,30n20b8,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94800,56.273595405,100022.5,1.5664103576316064,-0.5859235940685608,0.6827747264972787,1.0223930221893884,0.3328894658968431,0.0,0.0,0.002182758476230847,0.001541154934707607,0.0,0.0,211.80499729991186,1195.7941566250345,31.18321810794382
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,academictimetablebig,TERMINATION_REASON_OPTIMAL,5520,78.696729551,5898.5,25.44443305372896,25.44163202047463,5.398430677536682e-5,2.0586980430704558e-5,1.499684152939107e-5,0.0,0.0,3.070119607465107e-8,4.2848118655403054e-7,0.0,0.0,29.808156522712384,65.86870329961509,720.5152783216213
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,academictimetablesmall,TERMINATION_REASON_OPTIMAL,3040,6.932842942,3228.5,6.217248937900877e-15,-8.707220018067119e-5,8.706461927892938e-5,8.246132261109299e-7,6.346315757355114e-7,0.0,0.0,4.01717583303706e-9,2.3504873175389312e-8,0.0,0.0,12.641483069231251,18.03217291292947,52.856601983859065
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,adult-max5features,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,509.065565523,100028.5,0.0813160761495131,0.07890275640942096,0.0020800556518888874,6.940042439459642e-7,6.013827558110172e-7,0.0,0.0,1.156046576844246e-7,1.002304593018362e-7,0.0,0.0,0.0023247019818939587,0.0065233479251895436,0.006666620270283435
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,adult-regularized,TERMINATION_REASON_OPTIMAL,15160,79.451984394,15979.5,0.07768396137008453,0.07756946053437933,9.911317597869177e-5,2.4577117320485933e-11,1.3358602418689358e-12,0.0,0.0,2.0820184415177532e-11,1.3345257161527833e-12,0.0,0.0,0.0009999999967862702,0.001330552045735514,15.392070564053261
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,allcolor58,TERMINATION_REASON_OPTIMAL,880,6.018507388,956.5,41.999999999992724,41.992118609785074,9.273083594769617e-5,9.620722322509872e-5,5.793648280905117e-5,0.0,0.0,3.6453148259830635e-8,4.828040234087598e-6,0.0,0.0,0.9980907173087287,11.42784895424251,10.000000000000009
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,app1-2,TERMINATION_REASON_OPTIMAL,4640,10.573716981,5008.5,-264.7851183080196,-264.7331094809327,9.803400592601728e-5,0.01143364617661449,0.001463557460681164,0.0,0.0,9.830941932490799e-5,0.000731778730340582,0.0,0.0,0.9999999999999976,49.14156982276188,1.3645768825115316
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,atlanta-ip,TERMINATION_REASON_OPTIMAL,23840,39.321279276,25054.5,81.24539235221478,81.22911408382367,9.95768009703322e-5,0.0011015199342796639,0.0006930208080273559,0.0,0.0,2.2493391609613307e-6,2.7531416177791032e-5,0.0,0.0,20.981763310887754,112.38033091503095,130.83300657810713
"1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,bab1,TERMINATION_REASON_OPTIMAL,2280,1.79539686,2512.5,-286911.00883551384,-286967.2140653556,9.793912655984678e-5,0.0032087012162616956,0.002340772327272589,0.0,0.0,1.8472134519671225e-5,0.00015605148848483926,0.0,0.0,45.0999999999999,141.51258018844393,5780.408410167937
