experiment_label,method,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,L1_sixm250obs,TERMINATION_REASON_OPTIMAL,9600,813.946922377,10112.5,4629.4627900114465,4629.462679062757,1.1981596363398022e-8,9.130509877576603e-5,2.2420911506060293e-5,0.0,0.0,9.130509877576603e-5,2.2420911506060293e-5,0.0,0.0,3533.999944819996,111686.89077212836,0.04766860684253832
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,buildingenergy,TERMINATION_REASON_OPTIMAL,11280,227.379274643,12031.5,33246.76123241331,33240.24052960166,9.807337623093622e-5,0.057503665148632324,0.03470506597346912,0.01299676973019528,0.010220423538873646,8.803668978336255e-6,0.00018420850193719309,1.7550178517413336e-6,1.5483144279463181e-6,174.8817923526517,6714.012869445964,73.50781733797845
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,chrom1024-7,TERMINATION_REASON_OPTIMAL,160,2.127540024,190.5,2.9999612169459695,2.999896843133118,9.196445456306356e-6,0.0013659110518160192,9.029460767084885e-6,0.0,0.0,9.987590458321867e-6,4.514730383542442e-6,0.0,0.0,0.7499903042365,67.89641197015894,0.00017313547251704902
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,datt256,TERMINATION_REASON_OPTIMAL,1040,17.315568363,1113.5,255.99999946503607,255.97738522738445,4.408427803339331e-5,8.354335846388528e-5,5.883564899980542e-5,0.0,0.0,3.5227125126273455e-6,1.9611882999935142e-5,0.0,0.0,0.27712420199203264,1.486705081312457,16.669003541841523
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,ds-big,TERMINATION_REASON_OPTIMAL,57200,2232.621964864,61441.5,86.79151808482129,86.7743038056905,9.861196736205612e-5,0.0018545399408518438,0.00046724562653377433,0.0,0.0,5.580329070657236e-5,0.00023362281326688716,0.0,0.0,0.5681822860812022,1.91247848550987,232.32137057117154
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,ex10,TERMINATION_REASON_OPTIMAL,200,3.293674606,235.5,100.00000609673538,99.99682488320649,1.582718251516955e-5,2.5235736887708355e-5,6.751270250848762e-6,0.0,0.0,1.573958111430441e-6,1.6878175627121905e-6,0.0,0.0,0.2500016878175629,1.848871475556151,1.8421470736672028
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,fome13,TERMINATION_REASON_DUAL_INFEASIBLE,1,0.430909013,5.5,-7.713449982363768e11,-5.08246337822068e12,0.7364638715066406,3158.629591964524,340.92368754290953,2.9155883853509045e8,1.9740643708841503e7,0.8684012874789483,1.1288863825924156,0.10078604371049543,0.32876937745603396,20.46151586665496,457.4270993092149,4.1749618860086106e7
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,graph40-40,TERMINATION_REASON_OPTIMAL,80,10.111503113,105.5,-300.0,-300.00091896469314,1.5290570515679602e-6,0.009862396363859967,0.0006399447024543203,0.0,0.0,1.6828187189432532e-5,0.00021331490081810678,0.0,0.0,1.0,17.353434038862954,0.0007287296833343232
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,irish-e,TERMINATION_REASON_OPTIMAL,38720,244.179741708,40709.5,2.4014306429011975e6,2.401779680419866e6,7.266753327586692e-5,1.6779247367409116,0.6220339734236404,0.0,0.0,4.136106109308756e-5,0.0001381284776549731,0.0,0.0,445.0000000000003,9013.073253528815,183393.37055393096
"pdhg,1e-4,mittelmann_pdhg_mp_1h",pdhg,1e-4,mittelmann_pdhg_mp_1h,lo10,TERMINATION_REASON_OPTIMAL,1080,51.032864701,1161.5,1.4513414014358953e12,1.4511788013916052e12,5.60202971650587e-5,178.0916644868406,171.69827279001868,0.0,0.0,9.044205685385946e-5,0.0014986189593354225,0.0,0.0,57700.000000000065,1.292048082349024e6,23283.674044334548
