experiment_label,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,2club200v15p5scn,TERMINATION_REASON_OPTIMAL,41000,41.122044079,43086.0,-121.24806569759079,-121.23081416686298,7.085432107051238e-5,0.012349426181665664,0.00399884349515256,0.0,0.0,9.39592220803652e-5,0.00199942174757628,0.0,0.0,1.0,9.157195000129303,1.995362267746868
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,30n20b8,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,83.155634724,100001.0,75.1268125650884,-2535.173350763173,0.9996170490033879,0.6163717345649895,0.47314250391112567,0.0,0.0,0.09515983771494224,0.23657125195556283,0.0,0.0,120.12209502575662,559.0026070735418,186.3694022730656
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,academictimetablebig,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,1608.715794433,100003.0,25.43823715076101,24.45154939550946,0.019388718684336132,0.009170980696654705,0.0006194663943812073,0.0,0.0,3.5878775019234374e-6,6.194663943812073e-7,0.0,0.0,1.0,39.1790064497784,28.355097802078106
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,academictimetablesmall,TERMINATION_REASON_OPTIMAL,51040,100.97632046,53633.0,0.0,-9.97744232762443e-5,9.976446933385306e-5,2.30011093920935e-6,3.0593710231840987e-7,0.0,0.0,3.0907698825086754e-9,6.106528988391415e-10,0.0,0.0,1.0,15.94601731646699,11.976262971769389
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,adult-max5features,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,314.639260795,100001.0,0.08226962705664964,-0.33529319271686037,0.2945638908900177,0.0004108352818964141,0.00039916475675403837,0.0,0.0,0.0003480337511435889,0.0003987659907632751,0.0,0.0,0.08196460543934309,0.10324030570625581,0.2355260814093971
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,adult-regularized,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,307.215287703,100001.0,0.11214211639831552,-20256.906285846846,0.9999506368303713,0.0003096479507137952,0.00030962817122606734,0.0,0.0,0.0002623142231684457,0.0003093188523736937,0.0,0.0,0.11241043173130161,0.1386814193597639,15.743159088892813
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,allcolor58,TERMINATION_REASON_OPTIMAL,5080,44.670961774,5376.0,41.96304754920941,41.955752990079965,8.59004023034152e-5,0.17520068126028743,0.04568243223677959,0.003301160707968412,6.0210949631033234e-5,6.581005814149365e-5,0.0038068693530649658,8.780710324178926e-6,5.473722693730294e-6,0.4606924845507547,25.503003833649714,1.0004776440779342
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,app1-2,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,213.347363719,100001.0,-265.492013542898,-264.99511348545303,0.0009349239749666956,0.039073513506270564,0.0029494161505823208,4.348845952250191e-5,4.3488415377042896e-5,0.00033260432793848964,0.0014747080752911604,2.51240321020222e-6,2.1744207688521448e-5,1.0,21.270679488648735,1.0048952988520872
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,atlanta-ip,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,258.907554131,100002.0,13.09860648046018,-36157.654649837146,0.9999723541186153,8.018167962209363,1.0,3.097908891818724e-5,2.304060623087179e-5,4.629198083660476e-5,9.99990000099999e-6,3.2317758902741115e-7,1.2800336794928772e-6,7.725876812683694,57.888502670325785,0.1556792011781819
"1e-4,miplib_pdhg_vanilla_100k",1e-4,miplib_pdhg_vanilla_100k,bab1,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,598.531547665,100002.0,-297624.4085057551,-290256.8836639073,0.012532312913622456,0.21960845475711915,0.013140306596592446,0.0,0.0,0.0006663688839453905,0.000285039188646257,0.0,0.0,1.0,12.39532797388594,5115.615696399268
