experiment_label,tolerance,restarts,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-525149,TERMINATION_REASON_OPTIMAL,680,0.448457509,740.5,60.00000000000001,59.99999999999956,3.699520029164171e-15,6.631666115394487e-15,2.1094237467877974e-15,0.0,0.0,1.2952573670856308e-16,1.0547118733938987e-15,0.0,0.0,0.08561989224405125,1.7056268578110796,0.5010446071495381
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,1280,2.578958973,1419.5,20968.208367376297,20964.22613740096,9.496550955973486e-5,0.0014761863894739032,0.000858733164915304,0.0,0.0,1.3337722279147992e-6,1.0102743116650636e-5,0.0,0.0,6.000000000000011,150.84224946412323,2291.995333673779
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-5273874-yomtsa,TERMINATION_REASON_OPTIMAL,41280,906.472433807,43365.5,-1.375610736431554e-11,-4.011658744199919e-5,4.0114964409862526e-5,1.2028791439302937e-6,4.478308430755362e-7,8.847021698848561e-15,5.551115123125783e-16,2.8873508496051425e-13,4.477860644690893e-11,3.6829246337916464e-16,2.7755575615628914e-16,354.1767843931631,2547.685934709969,0.9999999999999994
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-578379,TERMINATION_REASON_OPTIMAL,5240,4.564302344,5525.5,0.0,-8.096175779641237e-5,8.095520352083257e-5,5.320550542100003e-6,1.9796515008350946e-7,0.0,0.0,5.97585810359629e-8,6.598838336116981e-8,0.0,0.0,0.2981346952670415,1.1373192875526685,0.08169139084501816
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-631710,TERMINATION_REASON_OPTIMAL,42000,650.147122143,44596.5,188.26208157054612,188.2265900674173,9.402004827008109e-5,0.0004656687416159082,3.020836290090756e-5,0.0,0.0,1.0273240576491138e-5,1.510418145045378e-5,0.0,0.0,0.4803028137094145,8.020774802056827,0.9998756455012846
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-662469,TERMINATION_REASON_OPTIMAL,20520,33.001360994,22135.5,184333.1312712491,184318.17723740375,4.056405859991004e-5,0.00909343536957582,0.002676147186646105,0.0,0.0,7.7363392692926e-5,0.00011150613277692105,0.0,0.0,2.7087145424583023,11.977761030817687,43335.20615474202
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-738098,TERMINATION_REASON_OPTIMAL,1400,1.9234889,1526.5,-1099.037599637338,-1099.1594315093535,5.539834325438607e-5,0.005237652986263973,0.0035043148186986173,0.0,0.0,3.45287060028372e-5,4.12272331611602e-5,0.0,0.0,0.8101526330072895,8.076594964732372,2.075911638851239
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-780889,TERMINATION_REASON_OPTIMAL,2080,16.685611978,2218.5,3.4214955154220574e6,3.4208731425756384e6,9.095867039155534e-5,0.0002491632574475667,5.160941979354128e-5,0.0,0.0,6.4994064716579534e-6,1.7203139931180427e-5,0.0,0.0,0.9773603120194636,16.413278797253437,66199.25597621975
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-787933,TERMINATION_REASON_OPTIMAL,160,2.029483999,191.5,3.000017703358821,2.9994985709512814,7.416689771050285e-5,0.0024349031929865057,0.002428642110763324,0.0,0.0,6.840059971760492e-5,0.000607160527690831,0.0,0.0,0.5001856230913097,2.941818380722468,0.007525179423396696
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-824661,TERMINATION_REASON_OPTIMAL,25920,56.54765334,27323.5,32.98126143221042,32.98792413754412,9.948911991416005e-5,0.0014916268448978151,0.0009569436964902422,0.0,0.0,1.5984911027096923e-5,3.086915149968523e-5,0.0,0.0,0.19400742018947306,3.786803130389385,1.0000782044930632
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-826224,TERMINATION_REASON_OPTIMAL,85480,195.190988584,90452.5,120.86470109585602,120.86311976427044,6.514834517032824e-6,0.00575546330267819,0.002506255146897729,0.0,0.0,3.623684923256962e-5,2.0885459557481077e-5,0.0,0.0,0.7109688299756237,12.245475934387352,0.9988688782064619
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-827175,TERMINATION_REASON_OPTIMAL,7120,13.915669024,7526.5,112.00745197960556,111.9855590242781,9.730504618688471e-5,0.0008197911424084748,0.00034756829413495893,0.0,0.0,5.203993989168976e-6,3.131245893107738e-6,0.0,0.0,0.9180814038832006,13.237993681113103,1.000948931534248
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-848589,TERMINATION_REASON_OPTIMAL,41000,1284.902466134,43176.5,0.0,-2.9899638320785016e-11,2.989963831989103e-11,1.0767738259303122e-9,3.927311809093226e-10,0.0,0.0,4.808899822120643e-13,9.20844992635988e-13,0.0,0.0,425.48999999999995,2102.8393545403856,0.14531111417345402
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-860300,TERMINATION_REASON_OPTIMAL,2840,2.066274405,3070.5,1666.0412723770248,1665.7085655872447,9.982951195140718e-5,0.006258761337678908,0.0062503713711032916,0.0,0.0,9.916785940223317e-5,0.00031251856855516456,0.0,0.0,0.49999723971186505,1.4906758223135534,1303.3317551681766
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-872648,TERMINATION_REASON_OPTIMAL,10280,47.817775413,10889.5,3.3555549305454093,3.3554498634507923,1.3625603591739501e-5,1.3751254943756147e-5,6.0687974912237985e-6,0.0,0.0,9.144519025340536e-6,4.5763407667409255e-6,0.0,0.0,0.3261299642978121,1.2819153835162402,9.279389440933246
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-873061,TERMINATION_REASON_OPTIMAL,6640,30.526021924,7104.5,5.5278558578099535,5.526668343475157,9.8511920915983e-5,6.8489544163972845e-6,1.7467140235682506e-6,0.0,0.0,3.705085293395703e-6,1.0916962647301564e-6,0.0,0.0,0.3261288243661662,1.0618639883134695,9.83720725752424
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-876808,TERMINATION_REASON_OPTIMAL,10480,149.594132817,11209.5,10031.779286015917,10030.339056097713,7.17849485630913e-5,2.0124451347148643e-5,1.7531095716033507e-5,0.0,0.0,1.1125853059032587e-6,8.765547858016753e-6,0.0,0.0,1.000000000000001,7.141666189053605,28105.835342789043
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-885086,TERMINATION_REASON_OPTIMAL,1320,2.408016118,1443.5,-242.99999999999957,-243.00000000000014,1.167215993035073e-15,3.223013963290174e-14,1.0658141036401503e-14,0.0,0.0,5.778826909992226e-19,6.657177411868522e-18,0.0,0.0,0.6143615924283586,9.613785659129576,1.0000000000000004
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-885524,TERMINATION_REASON_OPTIMAL,200,1.293802796,238.5,11754.885000796085,11754.884980664774,8.562590904799964e-10,1.5892080256112668e-7,1.3541161791863487e-7,0.0,0.0,9.002304478361826e-12,2.5071582654811123e-11,0.0,0.0,0.09525122976851756,1.765656206463159,27.717
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-913984,TERMINATION_REASON_OPTIMAL,200,1.688625614,233.5,999.9999999999993,999.9999999999906,4.3747558743450664e-15,6.745918282186431e-15,4.440892098500626e-16,0.0,0.0,1.64341947394387e-17,6.1085173294368995e-18,0.0,0.0,0.021965385160493258,3.8475834035292764,1.0000000000000004
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-932721,TERMINATION_REASON_OPTIMAL,680,1.047800537,737.5,2376.9851588784877,2376.989791828458,9.743374083147247e-7,0.00013913993880609415,2.649421975986499e-5,0.0,0.0,1.2447261733899419e-6,1.7662813173243328e-6,0.0,0.0,0.5000000018364363,8.82225280046793,13.000073466919055
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-933638,TERMINATION_REASON_OPTIMAL,880,1.631689037,947.5,275.9999482537747,275.9610875809785,7.027741608871211e-5,0.000330516294296782,0.00021139178901341538,0.0,0.0,2.9178995698709634e-6,1.4092785934227692e-5,0.0,0.0,0.511564808399646,9.375494083306373,760.4667310117205
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-933966,TERMINATION_REASON_OPTIMAL,400,0.842900743,444.5,318.0016156151881,317.9617971762341,6.251291385717224e-5,0.00027676082754374346,0.0001112188943466208,0.0,0.0,2.467508775385481e-6,7.414592956441387e-6,0.0,0.0,0.5433841912845413,9.179100682996314,855.6985714244266
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-941313,TERMINATION_REASON_OPTIMAL,10680,76.548123366,11239.5,9358.91687927009,9357.915215542622,5.35138750253627e-5,0.0007431654928543832,1.3180160372085192e-5,0.0,0.0,4.433763053777604e-8,4.30583481610101e-9,0.0,0.0,1.0000000000000007,8.739546611596628,62.00501303631143
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-948346,TERMINATION_REASON_OPTIMAL,120,2.079774,148.5,-229.94995238776448,-229.95118829685663,2.6815058220710362e-6,8.466713541033327e-6,7.696008903134918e-7,0.0,0.0,6.6276462086859535e-9,7.1925316851728205e-9,0.0,0.0,0.017807057391080572,1.2480046938450002,1.0000000000000369
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-950242,TERMINATION_REASON_OPTIMAL,1320,1.794369935,1409.5,0.9999986937807259,0.9999968617435637,6.106799587831322e-7,1.1332197885226166e-5,1.6926940643591237e-6,0.0,0.0,6.484491988015532e-8,8.463470321795619e-7,0.0,0.0,0.865045860607048,5.2617247219611265,0.04166674834819367
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-953928,TERMINATION_REASON_OPTIMAL,600,2.627431711,652.5,-99.91858650685984,-99.93491682026692,8.130459830956828e-5,0.01804554579135305,0.0041240470260821595,0.0,0.0,2.144970436481831e-5,7.637124122374369e-5,0.0,0.0,0.3485148909841001,2.5824143803533492,0.9999857261983244
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-954925,TERMINATION_REASON_OPTIMAL,680,8.896255234,751.5,-237.82294872076014,-237.83211350732077,1.9227293040363287e-5,0.0046996199180033785,0.001030406150851898,0.0,0.0,5.583842747118089e-6,1.908159538614626e-5,0.0,0.0,0.7387701388226648,6.0687822182338875,0.9992594476009383
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-956971,TERMINATION_REASON_OPTIMAL,680,5.352962574,737.5,-237.80561587456413,-237.8046250953624,2.078803845461323e-6,0.00019651999272709682,3.130525624715774e-5,0.0,0.0,3.2269467032117307e-7,5.797269675399582e-7,0.0,0.0,0.7954957991265612,6.591700448528287,1.0000000000000002
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-957143,TERMINATION_REASON_OPTIMAL,1320,9.684828171,1426.5,-237.78407816903834,-237.77567710443748,1.7628564955174986e-5,0.0018973003520878422,0.00021506844976704187,0.0,0.0,2.2993200302543066e-6,3.982749069760034e-6,0.0,0.0,0.94940595366157,7.85090925157324,0.999444509031798
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-957323,TERMINATION_REASON_OPTIMAL,1320,9.500655648,1463.5,-237.90247884868438,-237.8625446450003,8.37607662396243e-5,0.02082175701182246,0.0033490215119349465,0.0,0.0,2.5232852035075627e-5,6.20189168876842e-5,0.0,0.0,0.9911373376509747,6.508345902661996,0.9986890972774689
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos-960392,TERMINATION_REASON_OPTIMAL,1400,4.850872222,1506.5,-238.00435881896084,-238.04206391213575,7.903862470877501e-5,0.0620929524075525,0.010580390521501587,0.0,0.0,7.446800809859525e-5,0.00010796316858675089,0.0,0.0,1.0000000000000007,11.900319692445345,0.9996373870126359
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos6,TERMINATION_REASON_OPTIMAL,10680,18.44279004,11451.5,82.99911748034685,82.9908474593629,4.952405964599763e-5,0.00023760624784018586,6.667719559194651e-5,0.0,0.0,8.882679034387054e-7,8.231752542215619e-7,0.0,0.0,2.9999985655606594,7.495560326917012,3.0571279596966234
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos8,TERMINATION_REASON_OPTIMAL,840,3.403124127,920.5,-3774.820943126297,-3774.7074856488184,1.5026428752502307e-5,0.012826422548681816,0.007800025743562103,0.0,0.0,4.286695497604586e-5,0.0026000085811873678,0.0,0.0,11.526455175496194,14.220462757817586,1216.977103695204
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,neos9,TERMINATION_REASON_OPTIMAL,1440,7.734986121,1537.5,779.9498151554333,779.8013461206083,9.512665344012855e-5,0.0041815681621432,0.0010354388582438645,0.0,0.0,1.7988623638427163e-5,3.3401253491737564e-5,0.0,0.0,0.9375135215578259,24.111800599512325,1.539427086294294
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,netdiversion,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94960,1040.929006823,100009.5,230.80082099884748,230.64037378132343,0.0003469570170977586,8.511493386671172e-5,1.8216943001386765e-5,0.0,0.0,4.894020865405658e-7,9.108471500693383e-6,0.0,0.0,1.0000000000000044,49.66585118851586,6569.0490736279025
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,nj1,TERMINATION_REASON_OPTIMAL,0,0.400230921,2.5,0.0,0.0,0.0,24.63736998950984,1.0,0.0,0.0,1.6872797063920401e-7,1.299898217969533e-6,0.0,0.0,0.0,0.0,0.0
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,nj2,TERMINATION_REASON_OPTIMAL,0,0.447489915,2.5,0.0,0.0,0.0,24.63736998950984,1.0,0.0,0.0,1.6873015737400273e-7,1.299898217969533e-6,0.0,0.0,0.0,0.0,0.0
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,nj3,TERMINATION_REASON_OPTIMAL,0,0.442578065,2.5,0.0,0.0,0.0,25.514701644346147,2.0,0.0,0.0,1.7473860341563581e-7,2.599796435939066e-6,0.0,0.0,0.0,0.0,0.0
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1111636,TERMINATION_REASON_OPTIMAL,1600,8.463941945,1731.5,95.00502974684798,94.98658131592461,9.659288604727053e-5,0.7689759597355391,0.02486329826781358,0.0,0.0,3.0163447056196555e-5,3.236987145920268e-6,0.0,0.0,2.124993628131764,60.70528503609426,5.0004816447880405
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1116954,TERMINATION_REASON_OPTIMAL,360,2.411123396,414.5,0.0,-1.4581613459415242e-8,1.4581613246791794e-8,9.307338911693925e-11,8.712142118838528e-11,0.0,0.0,2.627835758236332e-13,7.920129198944117e-12,0.0,0.0,0.9974059403098131,4.683127915804685,1.707367931726583e-10
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,ns1430538,TERMINATION_REASON_OPTIMAL,12960,27.682907157,13637.5,73.62214497830308,73.60819924935012,9.408147181756318e-5,0.0057342619252069085,0.0012616985658544001,0.0,0.0,2.3296289991606783e-5,1.520118754041446e-5,0.0,0.0,10.34878647859243,71.57952197174932,9.848812180752734
